,longitude,latitude,housing_median_age,median_income,median_house_value,ocean_proximity,rooms_per_bedroom,population_per_household,bedroom_per_household,room_per_household
164,-122.25,37.8,42.0,2.9345,225000.0,2,3,1,1,4
165,-122.25,37.8,43.0,2.1429,250000.0,2,2,1,1,3
166,-122.25,37.8,41.0,1.6121,171400.0,2,3,2,1,3
167,-122.25,37.8,29.0,1.3929,193800.0,2,2,1,1,3
168,-122.24,37.79,27.0,2.3173,125000.0,2,3,2,1,3
169,-122.25,37.79,45.0,1.7772,97500.0,2,3,3,1,3
170,-122.25,37.79,50.0,2.6458,125000.0,2,3,3,0,3
171,-122.25,37.79,52.0,2.181,138800.0,2,3,2,1,3
172,-122.25,37.8,36.0,2.2303,116700.0,2,2,3,1,3
173,-122.25,37.8,43.0,1.6504,151800.0,2,3,2,1,3
174,-122.24,37.8,52.0,2.2697,127000.0,2,4,3,1,4
175,-122.24,37.8,52.0,2.1563,128600.0,2,4,3,1,4
176,-122.24,37.8,52.0,2.1348,140600.0,2,3,3,1,4
177,-122.24,37.8,47.0,2.6292,182700.0,2,3,2,1,3
178,-122.23,37.8,52.0,2.3833,146900.0,2,4,3,1,4
179,-122.24,37.8,52.0,2.957,122800.0,2,4,3,1,4
180,-122.24,37.8,49.0,2.5238,169300.0,2,3,2,1,4
181,-122.23,37.8,52.0,1.9375,126600.0,2,4,2,0,4
182,-122.23,37.8,51.0,1.9028,127900.0,2,3,2,1,4
183,-122.23,37.8,50.0,2.25,123500.0,2,3,2,1,4
184,-122.23,37.8,52.0,2.3929,111900.0,2,4,3,1,4
185,-122.23,37.79,43.0,2.1917,112800.0,2,4,3,1,4
186,-122.23,37.79,52.0,2.9357,107900.0,2,4,4,0,4
187,-122.23,37.79,30.0,1.8854,137500.0,2,3,3,1,3
188,-122.24,37.79,39.0,2.1638,105500.0,2,3,3,1,3
189,-122.24,37.79,47.0,2.125,95500.0,2,3,4,1,4
190,-122.24,37.79,52.0,3.375,116100.0,2,3,3,1,4
191,-122.24,37.79,43.0,2.2542,112200.0,2,4,3,1,4
192,-122.25,37.79,51.0,2.1,75000.0,2,4,4,0,3
193,-122.25,37.79,39.0,1.6,112500.0,2,3,3,1,3
194,-122.25,37.79,52.0,3.625,125000.0,2,3,3,1,3
195,-122.26,37.8,20.0,1.6929,115000.0,2,3,2,1,3
196,-122.22,37.77,52.0,1.6471,95000.0,2,3,3,0,2
197,-122.22,37.77,52.0,2.59,96400.0,2,3,3,1,4
198,-122.23,37.77,52.0,2.57,72000.0,2,3,3,1,4
199,-122.23,37.78,52.0,2.6429,71300.0,2,3,3,1,3
200,-122.23,37.78,52.0,3.0257,80800.0,2,4,4,1,4
201,-122.22,37.78,50.0,1.4886,128800.0,2,3,3,1,4
202,-122.23,37.78,43.0,1.9338,112500.0,2,3,3,1,3
203,-122.23,37.78,52.0,1.4844,119400.0,2,3,3,1,3
204,-122.23,37.78,44.0,1.6009,118100.0,2,2,3,1,3
205,-122.23,37.79,48.0,2.0375,122500.0,2,4,4,1,4
206,-122.23,37.79,49.0,2.293,106300.0,2,5,3,0,5
207,-122.22,37.79,37.0,2.1494,132500.0,2,4,3,1,4
208,-122.23,37.79,30.0,1.6198,122700.0,2,4,3,1,4
209,-122.23,37.79,40.0,1.3281,113300.0,2,4,3,1,5
210,-122.22,37.79,44.0,3.5156,109500.0,2,4,3,1,5
211,-122.22,37.79,52.0,3.9048,164700.0,2,4,3,1,4
212,-122.21,37.79,52.0,3.0893,125000.0,2,4,3,0,3
213,-122.22,37.79,46.0,2.6042,124700.0,2,4,3,1,4
214,-122.22,37.79,49.0,2.5,136700.0,2,4,2,1,4
215,-122.22,37.79,38.0,2.7969,141700.0,2,4,3,1,4
216,-122.2,37.79,29.0,2.8321,150000.0,2,4,2,1,4
217,-122.21,37.79,47.0,2.9583,138800.0,2,5,2,1,5
218,-122.21,37.79,34.0,2.8365,139200.0,2,4,2,1,4
219,-122.21,37.79,35.0,2.875,143800.0,2,4,2,1,4
220,-122.21,37.8,39.0,3.0682,156500.0,2,4,2,1,4
221,-122.21,37.8,39.0,3.0757,151000.0,2,4,2,1,4
222,-122.2,37.8,43.0,4.9559,273000.0,2,6,2,1,6
223,-122.2,37.8,52.0,4.7721,217100.0,2,5,2,1,5
224,-122.21,37.8,52.0,3.4861,187100.0,2,4,2,1,4
225,-122.2,37.8,41.0,5.1184,239600.0,2,5,2,1,6
226,-122.21,37.8,48.0,4.0977,229700.0,2,5,2,1,5
227,-122.19,37.8,48.0,4.744,257300.0,2,6,2,1,7
228,-122.19,37.8,46.0,4.2727,246900.0,2,5,2,1,5
229,-122.19,37.79,50.0,2.9844,179900.0,2,4,2,1,5
230,-122.2,37.79,40.0,4.1739,169600.0,2,4,2,1,4
231,-122.2,37.8,46.0,3.8487,203300.0,2,5,2,1,5
232,-122.19,37.8,52.0,4.0114,263400.0,2,6,2,0,6
233,-122.19,37.79,45.0,4.6563,231800.0,2,6,2,0,5
234,-122.19,37.79,28.0,2.9297,140500.0,2,4,2,1,4
235,-122.2,37.79,35.0,2.3036,126000.0,2,3,2,1,4
236,-122.2,37.79,49.0,2.6667,122000.0,2,4,3,0,4
237,-122.2,37.79,44.0,2.619,134700.0,2,3,2,0,3
238,-122.21,37.79,45.0,2.4167,139400.0,2,3,3,1,4
239,-122.2,37.79,45.0,2.7788,115400.0,2,3,2,1,4
240,-122.21,37.78,46.0,2.7352,137300.0,2,4,2,0,3
241,-122.21,37.78,52.0,1.8472,137000.0,2,4,3,1,5
242,-122.21,37.78,52.0,2.6583,142600.0,2,4,3,0,4
243,-122.21,37.78,49.0,3.0536,137500.0,2,3,3,0,3
244,-122.22,37.78,44.0,2.3906,111700.0,2,4,3,1,4
245,-122.21,37.78,43.0,1.7188,126800.0,2,3,3,1,4
246,-122.21,37.78,47.0,2.625,111300.0,2,3,3,1,3
247,-122.22,37.77,40.0,2.8015,114800.0,2,4,4,0,3
248,-122.22,37.78,50.0,1.7276,102300.0,2,3,4,1,4
249,-122.22,37.78,44.0,2.0801,131900.0,2,3,3,1,3
250,-122.22,37.78,51.0,2.489,119100.0,2,3,3,1,4
251,-122.21,37.76,52.0,1.7546,80600.0,2,4,3,1,4
252,-122.21,37.77,52.0,4.0904,80600.0,2,3,2,1,4
253,-122.21,37.77,52.0,2.6765,88800.0,2,4,3,1,5
254,-122.2,37.77,49.0,2.4338,102400.0,2,4,3,1,4
255,-122.21,37.77,46.0,2.3309,98700.0,2,3,3,1,3
256,-122.21,37.77,43.0,2.2604,100000.0,2,3,3,1,3
257,-122.19,37.77,42.0,1.8039,92300.0,2,3,3,0,3
258,-122.2,37.77,39.0,2.2562,94800.0,2,4,3,1,5
259,-122.2,37.77,41.0,2.0562,102000.0,2,3,3,1,4
260,-122.2,37.78,52.0,3.5398,158400.0,2,5,2,1,5
261,-122.2,37.78,39.0,3.1167,121600.0,2,4,2,1,4
262,-122.2,37.78,50.0,2.5401,129100.0,2,4,2,1,4
263,-122.2,37.77,43.0,2.898,121400.0,2,4,3,1,5
264,-122.21,37.78,44.0,2.3125,102800.0,2,4,3,1,4
265,-122.19,37.78,52.0,2.875,160000.0,2,5,2,1,6
266,-122.19,37.77,52.0,3.3715,143900.0,2,5,2,1,5
267,-122.19,37.77,52.0,3.5114,151200.0,2,5,2,1,5
268,-122.19,37.78,52.0,4.3125,164400.0,2,6,2,1,6
269,-122.19,37.78,52.0,3.22,156500.0,2,5,2,1,5
270,-122.18,37.78,33.0,3.875,225000.0,2,4,12,0,3
271,-122.19,37.78,49.0,5.2328,174200.0,2,5,2,0,5
272,-122.19,37.78,52.0,3.7262,166900.0,2,5,2,1,5
273,-122.2,37.78,45.0,4.5893,163500.0,2,5,2,1,5
274,-122.18,37.79,39.0,5.2578,253000.0,2,6,2,0,5
275,-122.18,37.79,41.0,7.0875,240700.0,2,6,2,1,6
276,-122.18,37.79,46.0,3.9712,208100.0,2,5,2,1,6
277,-122.19,37.79,47.0,2.9514,198100.0,2,5,2,0,4
278,-122.19,37.79,50.0,2.6667,172800.0,2,4,2,1,4
279,-122.18,37.81,37.0,5.4446,336700.0,2,6,2,0,6
280,-122.18,37.8,34.0,6.2838,318200.0,2,6,2,1,6
281,-122.18,37.8,23.0,6.7527,285800.0,2,6,2,1,7
282,-122.13,37.77,24.0,7.0712,293000.0,2,7,2,0,7
283,-122.16,37.79,22.0,5.9849,371000.0,2,6,2,1,6
284,-122.17,37.78,42.0,3.6875,157300.0,2,5,2,0,5
285,-122.17,37.77,30.0,2.875,135300.0,2,4,2,1,4
286,-122.18,37.78,43.0,3.4205,136700.0,2,4,2,1,4
287,-122.18,37.78,50.0,3.2984,160700.0,2,5,2,1,5
288,-122.17,37.78,49.0,3.875,140600.0,2,5,2,0,4
289,-122.17,37.78,52.0,4.175,144000.0,2,5,2,1,5
290,-122.16,37.77,47.0,4.375,161900.0,2,2,2,1,5
291,-122.16,37.77,48.0,4.7708,156300.0,2,5,2,1,5
292,-122.16,37.77,45.0,3.5739,176000.0,2,5,2,1,6
293,-122.16,37.77,39.0,3.0958,145800.0,2,4,2,1,5
294,-122.17,37.77,39.0,3.3958,141900.0,2,4,2,1,5
295,-122.17,37.77,31.0,1.871,90700.0,2,4,3,1,5
296,-122.17,37.76,41.0,1.9356,90600.0,2,4,3,1,4
297,-122.17,37.76,47.0,2.1842,107900.0,2,5,2,1,5
298,-122.18,37.76,37.0,2.2917,107000.0,2,4,2,1,4
299,-122.17,37.76,38.0,2.4333,98200.0,2,4,2,1,4
300,-122.18,37.76,50.0,1.9479,89500.0,2,4,3,1,4
301,-122.18,37.76,52.0,3.9063,93800.0,2,4,2,1,4
302,-122.18,37.76,49.0,1.8407,96700.0,2,5,2,1,5
303,-122.18,37.77,27.0,2.0786,97500.0,2,3,2,1,5
304,-122.18,37.77,42.0,2.8125,97300.0,2,4,3,0,4
305,-122.18,37.76,43.0,1.8913,91200.0,2,4,3,1,5
306,-122.19,37.76,49.0,1.7056,91400.0,2,4,2,1,5
307,-122.18,37.77,52.0,2.2768,96200.0,2,5,2,0,4
308,-122.18,37.77,51.0,3.2552,120100.0,2,4,2,1,4
309,-122.18,37.77,52.0,2.0556,100000.0,2,4,2,0,4
310,-122.19,37.76,52.0,2.4659,94700.0,2,5,2,1,5
311,-122.2,37.76,47.0,1.75,85700.0,2,4,2,0,4
312,-122.19,37.77,41.0,2.0469,89300.0,2,3,3,1,4
313,-122.19,37.77,45.0,2.7159,101400.0,2,4,3,1,5
314,-122.19,37.76,41.0,1.2083,72500.0,2,4,3,1,5
315,-122.19,37.76,45.0,1.925,74100.0,2,4,2,1,4
316,-122.2,37.75,36.0,1.5809,70000.0,2,4,3,0,4
317,-122.2,37.76,37.0,1.4097,84600.0,2,3,2,1,4
318,-122.19,37.76,38.0,0.7683,81800.0,2,4,3,1,4
319,-122.19,37.75,19.0,1.3194,81400.0,2,3,2,1,4
320,-122.19,37.75,28.0,0.8012,81800.0,2,4,2,1,5
321,-122.19,37.76,26.0,1.9479,85800.0,2,4,3,0,4
322,-122.19,37.74,36.0,1.1765,87100.0,2,3,3,1,5
323,-122.18,37.74,42.0,2.3456,83500.0,2,3,3,1,4
324,-122.19,37.73,44.0,2.1538,79700.0,2,4,3,1,4
325,-122.19,37.74,43.0,2.5139,83400.0,2,4,2,0,4
326,-122.19,37.73,45.0,1.2625,84700.0,2,5,2,1,5
327,-122.18,37.73,42.0,2.9063,80000.0,2,4,3,1,4
328,-122.18,37.73,43.0,2.5192,76400.0,2,4,3,1,4
329,-122.18,37.73,44.0,2.1111,79700.0,2,4,3,0,4
330,-122.18,37.73,42.0,2.455,82400.0,2,4,3,1,5
331,-122.17,37.74,41.0,2.4028,97700.0,2,3,3,1,3
332,-122.17,37.74,47.0,2.15,97200.0,2,3,2,0,3
333,-122.17,37.74,43.0,2.4776,101600.0,2,4,2,1,4
334,-122.17,37.73,43.0,2.1587,86500.0,2,3,3,1,4
335,-122.18,37.74,35.0,1.8438,90500.0,2,4,2,1,4
336,-122.17,37.74,46.0,3.0298,107600.0,2,4,3,1,4
337,-122.17,37.74,46.0,2.25,84200.0,2,4,3,1,4
338,-122.18,37.74,46.0,2.2467,88900.0,2,5,3,1,5
339,-122.18,37.75,45.0,4.0469,80700.0,2,4,3,0,4
340,-122.18,37.75,46.0,1.325,87100.0,2,4,3,1,4
341,-122.17,37.75,38.0,1.6196,85100.0,2,2,2,1,3
342,-122.18,37.75,45.0,2.1731,82000.0,2,3,3,1,3
343,-122.19,37.75,36.0,1.9167,82800.0,2,4,3,1,7
344,-122.18,37.75,43.0,2.069,84600.0,2,4,3,1,4
345,-122.18,37.75,36.0,1.712,82100.0,2,4,3,1,6
346,-122.17,37.76,33.0,2.5625,89300.0,2,4,3,1,4
347,-122.17,37.75,43.0,1.9821,98300.0,2,4,2,1,5
348,-122.17,37.75,41.0,2.5043,92300.0,2,4,3,1,5
349,-122.17,37.75,44.0,2.3281,88800.0,2,4,3,0,4
350,-122.17,37.75,48.0,1.4375,90000.0,2,4,2,1,5
351,-122.16,37.76,45.0,2.5122,95500.0,2,4,2,1,4
352,-122.16,37.75,38.0,1.5625,91700.0,2,3,3,1,5
353,-122.17,37.75,47.0,3.1587,100400.0,2,4,3,1,5
354,-122.17,37.76,40.0,1.8426,94800.0,2,4,2,1,4
355,-122.16,37.76,46.0,4.6696,164300.0,2,5,2,1,6
356,-122.16,37.76,36.0,2.4598,155500.0,2,4,2,1,5
357,-122.15,37.76,39.0,6.0749,196900.0,2,6,2,1,6
358,-122.14,37.77,27.0,4.8304,279100.0,2,6,3,1,6
359,-122.14,37.76,34.0,5.5701,252800.0,2,6,2,1,7
360,-122.13,37.76,26.0,5.37,275400.0,2,6,2,0,6
361,-122.12,37.75,33.0,6.86,250000.0,2,6,3,1,8
362,-122.12,37.75,28.0,7.6923,329800.0,2,7,3,1,7
363,-122.14,37.75,36.0,4.0313,195500.0,2,6,2,0,6
364,-122.14,37.75,33.0,6.8323,255900.0,2,6,2,0,6
365,-122.13,37.75,30.0,4.975,311100.0,2,7,2,1,8
366,-122.13,37.75,36.0,5.3602,330000.0,2,8,2,1,8
367,-122.13,37.74,41.0,5.0,248900.0,2,6,2,1,6
368,-122.16,37.75,46.0,2.925,142900.0,2,5,2,1,6
369,-122.15,37.75,40.0,3.8913,126300.0,2,5,3,1,5
370,-122.15,37.75,44.0,3.225,135800.0,2,4,2,1,5
371,-122.15,37.74,41.0,3.1458,130600.0,2,4,2,0,4
372,-122.16,37.75,24.0,2.537,107900.0,2,3,2,1,4
373,-122.16,37.75,44.0,2.5568,111100.0,2,4,2,0,4
374,-122.15,37.74,43.0,3.5083,122000.0,2,5,3,1,5
375,-122.15,37.74,49.0,3.3125,118000.0,2,4,2,0,4
376,-122.16,37.75,40.0,1.8235,95200.0,2,4,3,1,4
377,-122.16,37.75,35.0,3.8047,94300.0,2,4,3,1,5
378,-122.17,37.74,34.0,2.2917,92500.0,2,4,2,1,4
379,-122.17,37.75,37.0,2.4962,91800.0,2,4,3,1,5
380,-122.16,37.74,43.0,4.0417,109400.0,2,5,2,1,5
381,-122.16,37.74,46.0,3.4844,129500.0,2,5,2,0,4
382,-122.16,37.74,52.0,4.1458,143400.0,2,5,2,1,5
383,-122.16,37.74,47.0,2.625,98200.0,2,3,3,1,4
384,-122.16,37.74,44.0,2.0227,103100.0,2,4,2,1,5
385,-122.29,37.9,49.0,3.3333,276800.0,2,5,2,1,5
386,-122.29,37.9,52.0,5.338,270900.0,2,6,2,0,5
387,-122.29,37.89,52.0,3.4732,246200.0,2,5,2,1,5
388,-122.3,37.9,38.0,3.5125,224200.0,2,4,2,1,4
389,-122.29,37.89,52.0,3.1375,229100.0,2,4,2,1,4
390,-122.3,37.89,46.0,2.8036,211600.0,2,3,2,1,4
391,-122.3,37.9,15.0,4.5824,256100.0,2,4,2,1,4
392,-122.3,37.89,36.0,3.0208,206300.0,2,3,1,1,3
393,-122.3,37.89,52.0,4.0875,221300.0,2,4,2,1,4
394,-122.33,37.89,42.0,4.5268,207400.0,2,4,2,1,5
395,-122.34,37.88,37.0,1.7375,350000.0,2,3,2,1,3
396,-122.29,37.89,52.0,3.1795,218200.0,2,4,2,1,4
397,-122.29,37.88,50.0,3.8672,216700.0,2,4,2,1,5
